method,count,mean,p50,p95,p99,max
lookup,9975,1.283433216441207,1.0995000000093569,2.4204705999920844,4.018957919978458,24.513291999994635
trade,9978,1.2909385396872601,1.0915205000117112,2.4100597999961333,4.366299659990865,46.97562500001595
update,9976,1.2879588025258206,1.087729500000023,2.388260499998296,4.1668022500118695,47.45962499998768
