client,method,latency(ms)
update-client,update,6.9592499999657775
update-client,update,0.48079200001893696
update-client,update,0.6489589999887357
update-client,update,0.3992080000330134
update-client,update,0.4254579999951602
update-client,update,0.3521250000062537
update-client,update,0.29679199997190153
update-client,update,0.3892920000225786
update-client,update,0.5727079999928719
update-client,update,1.029291000008925
update-client,update,0.5161249999900974
update-client,update,0.5957500000022264
update-client,update,0.3733750000378677
update-client,update,0.38204099996619334
update-client,update,0.38291599997819503
update-client,update,0.6829580000271562
update-client,update,0.4807079999977759
update-client,update,0.5040419999886581
update-client,update,1.2157909999928052
update-client,update,0.40929199997208343
update-client,update,0.3479169999991427
update-client,update,0.39154199998847616
update-client,update,0.49404200001390564
update-client,update,0.32924999999295324
update-client,update,0.4283750000126929
update-client,update,0.3988749999734864
update-client,update,0.3832909999914591
update-client,update,0.5310000000235959
update-client,update,0.349290999963614
update-client,update,0.5219590000251628
update-client,update,0.6133339999792042
update-client,update,1.2450830000148017
update-client,update,2.84162500003049
update-client,update,1.0819590000323842
update-client,update,0.6215840000436401
update-client,update,0.7706669999834048
update-client,update,0.9129580000148962
update-client,update,0.8839590000206954
update-client,update,1.5048749999664324
update-client,update,1.3765420000027007
update-client,update,0.8121660000028896
update-client,update,1.4542089999736163
update-client,update,0.6700419999674523
update-client,update,2.1600000000034925
update-client,update,0.6804999999872052
update-client,update,1.5009159999976873
update-client,update,0.8523749999653774
update-client,update,0.5262920000177473
update-client,update,1.1660000000119908
update-client,update,1.2061250000101609
update-client,update,0.9429589999854215
update-client,update,1.0946670000180347
update-client,update,0.6615409999994881
update-client,update,0.5553749999762658
update-client,update,0.9979159999602416
update-client,update,2.058458000021801
update-client,update,1.5401250000195432
update-client,update,1.097915999991983
update-client,update,0.7152090000204225
update-client,update,0.9908330000030219
update-client,update,0.9171250000008513
update-client,update,2.1775839999804703
update-client,update,5.972250000013446
update-client,update,1.4467080000031274
update-client,update,3.039582999974755
update-client,update,1.7873749999921529
update-client,update,1.0233340000240787
update-client,update,0.9029159999727199
update-client,update,0.9916249999832871
update-client,update,0.8496669999544793
update-client,update,0.7116659999724106
update-client,update,0.8201249999615357
update-client,update,0.9017500000254586
update-client,update,0.8280829999876005
update-client,update,1.302291999991212
update-client,update,1.4593330000138849
update-client,update,1.6057500000101754
update-client,update,0.3954590000034841
update-client,update,0.33404199996311945
update-client,update,0.5726250000179789
update-client,update,0.7611249999968095
update-client,update,2.7857499999868196
update-client,update,0.8900419999804399
update-client,update,1.1229159999857075
update-client,update,1.0154170000191698
update-client,update,1.7763339999987693
update-client,update,0.5799580000029891
update-client,update,1.4088749999814354
update-client,update,0.6972909999944932
update-client,update,0.7077500000036707
update-client,update,1.3602499999478823
update-client,update,1.476499999967018
update-client,update,1.5257079999742018
update-client,update,1.9181669999852602
update-client,update,0.614499999983309
update-client,update,1.1284580000392452
update-client,update,1.5861669999708283
update-client,update,2.160875000015494
update-client,update,0.8961659999613403
update-client,update,0.8247500000493346
update-client,update,1.4172500000313448
update-client,update,1.2369170000283702
update-client,update,1.3851670000235572
update-client,update,0.7726660000457741
update-client,update,0.8742090000168901
update-client,update,1.0107499999776337
update-client,update,1.3454159999923831
update-client,update,2.1975839999868185
update-client,update,1.652332999981354
update-client,update,1.350750000028711
update-client,update,0.6402500000035616
update-client,update,0.6582910000361153
update-client,update,0.6195840000486896
update-client,update,1.4209999999934553
update-client,update,0.6175830000074711
update-client,update,0.775792000013098
update-client,update,0.8182500000089021
update-client,update,0.7848340000009557
update-client,update,0.8807919999753722
update-client,update,0.8007909999605545
update-client,update,1.2548750000291875
update-client,update,0.6835830000113674
update-client,update,0.727958000027229
update-client,update,0.8882909999670119
update-client,update,1.108417000011741
update-client,update,1.0512919999996484
update-client,update,1.2058329999717898
update-client,update,0.9242499999686515
update-client,update,0.6487079999715206
update-client,update,1.6798750000361906
update-client,update,4.530041000009533
update-client,update,1.4703329999861126
update-client,update,1.5704160000495904
update-client,update,1.024625000013657
update-client,update,0.8544169999709084
update-client,update,1.2163750000127038
update-client,update,1.457167000012305
update-client,update,2.2599999999783904
update-client,update,1.3965840000196295
update-client,update,1.3180000000261316
update-client,update,1.4208329999974012
update-client,update,1.0844170000154918
update-client,update,1.3017500000387372
update-client,update,1.101707999964674
update-client,update,1.0107090000133212
update-client,update,1.4189999999985048
update-client,update,0.6265840000310163
update-client,update,1.846374999956879
update-client,update,1.2554159999922376
update-client,update,1.3112080000041715
update-client,update,0.8124579999844173
update-client,update,2.2149580000245805
update-client,update,0.8848749999970096
update-client,update,0.5517499999996289
update-client,update,0.7415420000143058
update-client,update,1.2750829999959024
update-client,update,1.8608330000233764
update-client,update,1.324000000010983
update-client,update,0.7872920000409067
update-client,update,0.5280419999849073
update-client,update,1.7379590000246026
update-client,update,1.1679169999752048
update-client,update,1.76466700003175
update-client,update,1.0142919999793776
update-client,update,1.1684160000413613
update-client,update,0.739999999950669
update-client,update,0.7532500000024811
update-client,update,1.1493330000007518
update-client,update,0.9387079999783055
update-client,update,1.4670830000227397
update-client,update,0.8610419999968144
update-client,update,0.7550419999802216
update-client,update,0.4994169999577025
update-client,update,1.01574999996501
update-client,update,1.0135830000308488
update-client,update,0.8337499999697684
update-client,update,1.176874999998745
update-client,update,0.9397499999863612
update-client,update,0.937291000013829
update-client,update,0.9008330000028764
update-client,update,0.9769590000132666
update-client,update,1.587542000038411
update-client,update,2.2533750000093278
update-client,update,1.698458000021219
update-client,update,1.1839160000022275
update-client,update,1.208249999990585
update-client,update,2.9447090000189746
update-client,update,0.9755840000025273
update-client,update,1.0692910000216216
update-client,update,1.5786249999791835
update-client,update,1.9306660000211195
update-client,update,1.5666660000306365
update-client,update,1.1497079999571724
update-client,update,0.5620420000127524
update-client,update,0.9651670000039303
update-client,update,0.9799580000162678
update-client,update,0.9522500000116452
update-client,update,0.9817079999834277
update-client,update,1.5530410000224038
update-client,update,1.0591250000402397
update-client,update,2.8845000000501386
update-client,update,1.1910840000268763
update-client,update,1.2100409999789008
update-client,update,0.6301249999864922
update-client,update,0.8588339999846539
update-client,update,1.8234169999686856
update-client,update,1.0201669999787555
update-client,update,1.072958000008839
update-client,update,1.530791999982739
update-client,update,1.189707999969869
update-client,update,0.685958000019582
update-client,update,1.5378749999968022
update-client,update,0.7832080000298447
update-client,update,1.2809170000309678
update-client,update,1.2647909999827789
update-client,update,0.6928749999701722
update-client,update,0.9965410000063457
update-client,update,0.7597910000072261
update-client,update,0.757167000017489
update-client,update,1.6908750000084183
update-client,update,1.256875000024138
update-client,update,1.53891599995859
update-client,update,0.8271670000112863
update-client,update,1.5955000000076325
update-client,update,0.9936670000456616
update-client,update,1.9771249999962492
update-client,update,1.0758750000263717
update-client,update,0.8222500000556465
update-client,update,2.144082999961938
update-client,update,1.0492079999835369
update-client,update,1.2979580000092028
update-client,update,1.1357500000030996
update-client,update,1.7092499999762367
update-client,update,0.7761669999695187
update-client,update,1.061957999979768
update-client,update,1.3479590000429198
update-client,update,1.53325000002269
update-client,update,2.0649169999842343
update-client,update,1.6764999999736574
update-client,update,0.9719579999796224
update-client,update,1.9092920000503
update-client,update,1.0380840000152602
update-client,update,0.9590839999873424
update-client,update,2.3890420000043378
update-client,update,1.9298330000196984
update-client,update,2.366041000016139
update-client,update,1.0450830000081623
update-client,update,2.019583999981478
update-client,update,3.907708999975057
update-client,update,3.132916999959434
update-client,update,2.0758340000384123
update-client,update,1.1261249999847678
update-client,update,2.833500000008371
update-client,update,1.4790000000175496
update-client,update,1.2990839999815762
update-client,update,1.2080829999945308
update-client,update,4.032750000021679
update-client,update,1.0312919999933001
update-client,update,0.5787499999883039
update-client,update,0.5506250000166801
update-client,update,0.6230000000186919
update-client,update,0.4707499999767606
update-client,update,0.5487079999966227
update-client,update,0.5973330000301758
update-client,update,0.6875830000012684
update-client,update,0.8506670000087979
update-client,update,0.761082999986229
update-client,update,1.283749999970496
update-client,update,1.5362909999794283
update-client,update,0.9424999999509964
update-client,update,0.6331249999789179
update-client,update,1.3833329999783928
update-client,update,1.7850840000050994
update-client,update,1.7190409999443546
update-client,update,0.7037500000137697
update-client,update,0.938749999988886
update-client,update,1.2505000000260225
update-client,update,1.1151669999662772
update-client,update,0.9833340000113822
update-client,update,1.0037920000058875
update-client,update,0.6238330000201131
update-client,update,2.3678339999833042
update-client,update,0.7280829999558591
update-client,update,6.966583999997056
update-client,update,1.573000000007596
update-client,update,1.374292000036803
update-client,update,3.7932079999905
update-client,update,1.6222500000253604
update-client,update,5.080249999991793
update-client,update,6.52137499997707
update-client,update,1.7290409999759504
update-client,update,2.2645000000238724
update-client,update,2.5064999999813153
update-client,update,1.099667000005411
update-client,update,0.8142909999833137
update-client,update,0.7885420000093291
update-client,update,0.9869589999880191
update-client,update,1.1299999999891952
