client,method,latency(ms)
trade-client,trade,0.7091670000249906
trade-client,trade,2.5774580000188507
trade-client,trade,1.0217079999961243
trade-client,trade,1.4027080000005299
trade-client,trade,0.786291999986588
trade-client,trade,1.3295410000182528
trade-client,trade,1.1264159999768708
trade-client,trade,1.062417000014193
trade-client,trade,1.5451250000069194
trade-client,trade,1.6586660000257325
trade-client,trade,2.0480830000337846
trade-client,trade,1.2806249999925967
trade-client,trade,1.2465830000110145
trade-client,trade,1.0333330000094065
trade-client,trade,1.0199160000183838
trade-client,trade,0.9369169999899896
trade-client,trade,0.922166999998808
trade-client,trade,1.2422499999615866
trade-client,trade,1.0178750000022774
trade-client,trade,0.7242909999831681
trade-client,trade,1.30520800001932
trade-client,trade,0.8260419999714941
trade-client,trade,1.1827089999769669
trade-client,trade,1.1321250000264627
trade-client,trade,0.9071250000260989
trade-client,trade,1.2776670000107515
trade-client,trade,0.6669580000107089
trade-client,trade,0.660709000044335
trade-client,trade,0.7597500000429136
trade-client,trade,0.5864579999865782
trade-client,trade,0.7426249999866741
trade-client,trade,2.1810420000178965
trade-client,trade,0.5663750000053369
trade-client,trade,0.9902909999937037
trade-client,trade,1.550041000029978
trade-client,trade,3.5795420000113154
trade-client,trade,1.9916669999702208
trade-client,trade,0.9570830000029673
trade-client,trade,0.6302090000076532
trade-client,trade,2.4095420000094236
trade-client,trade,2.0527089999973214
trade-client,trade,1.164791000007881
trade-client,trade,2.032374999998865
trade-client,trade,1.2851249999812353
trade-client,trade,1.2616249999837237
trade-client,trade,0.8231250000108048
trade-client,trade,2.1284999999693355
trade-client,trade,1.1549580000291826
trade-client,trade,2.009624999971038
trade-client,trade,1.9267089999743803
trade-client,trade,1.9246670000256927
trade-client,trade,1.2261250000165091
trade-client,trade,1.3032090000137941
trade-client,trade,1.1326250000252003
trade-client,trade,2.271625000048516
trade-client,trade,3.314457999977094
trade-client,trade,1.7541670000014165
trade-client,trade,1.5709169999809092
trade-client,trade,1.6712089999941782
trade-client,trade,7.1956250000084765
trade-client,trade,1.8368329999702837
trade-client,trade,2.5295000000369328
trade-client,trade,1.7420000000356595
trade-client,trade,2.7351250000151595
trade-client,trade,1.0422920000223712
trade-client,trade,3.256625000005897
trade-client,trade,0.9161670000139566
trade-client,trade,0.8031250000044565
trade-client,trade,0.5388750000179243
trade-client,trade,0.37420799998244547
trade-client,trade,1.0797919999845362
trade-client,trade,0.47558400001435075
trade-client,trade,0.43933299997434005
trade-client,trade,1.350542000011501
trade-client,trade,1.1638749999747233
trade-client,trade,0.6158749999940483
trade-client,trade,0.5063749999862921
trade-client,trade,1.014249999968797
trade-client,trade,1.3185409999891817
trade-client,trade,1.2581670000031409
trade-client,trade,0.8218330000318019
trade-client,trade,0.9358750000387772
trade-client,trade,0.8535000000051696
trade-client,trade,1.9265829999994821
trade-client,trade,0.7091249999575666
trade-client,trade,1.146417000029487
trade-client,trade,1.465999999993528
trade-client,trade,0.8930829999940215
trade-client,trade,1.1920419999569276
trade-client,trade,1.1468750000176442
trade-client,trade,1.2863329999959205
trade-client,trade,2.242249999994783
trade-client,trade,1.1896670000055565
trade-client,trade,0.6615830000100686
trade-client,trade,1.07458399997995
trade-client,trade,1.2886659999935546
trade-client,trade,2.1893329999898015
trade-client,trade,2.014874999986205
trade-client,trade,1.484542000014244
trade-client,trade,2.3142079999729503
trade-client,trade,2.1776670000122067
trade-client,trade,5.285167000010915
trade-client,trade,5.250250000017331
trade-client,trade,1.0836249999783831
trade-client,trade,1.2834590000352364
trade-client,trade,2.5416670000026897
trade-client,trade,1.2929170000006707
trade-client,trade,1.705958999991708
trade-client,trade,1.1017500000320979
trade-client,trade,0.8599579999781781
trade-client,trade,0.8590420000018639
trade-client,trade,0.8193329999812704
trade-client,trade,0.9025829999700363
trade-client,trade,0.7235410000134834
trade-client,trade,0.7110839999882046
trade-client,trade,0.625541000033536
trade-client,trade,1.220999999986816
trade-client,trade,1.0742499999878419
trade-client,trade,1.485000000002401
trade-client,trade,0.7662500000265027
trade-client,trade,0.9729580000339411
trade-client,trade,1.4742500000011205
trade-client,trade,3.4798749999822576
trade-client,trade,3.3227920000058475
trade-client,trade,2.120542000000114
trade-client,trade,3.6565419999874393
trade-client,trade,110.20254200002455
trade-client,trade,3.503958999999668
trade-client,trade,1.6573749999793108
trade-client,trade,1.365707999980259
trade-client,trade,1.8910829999754242
trade-client,trade,1.6941669999823716
trade-client,trade,1.282082999978229
trade-client,trade,1.8687080000177048
trade-client,trade,0.9433750000198415
trade-client,trade,1.7564999999990505
trade-client,trade,0.696666000010282
trade-client,trade,0.9464999999977408
trade-client,trade,1.5113329999962843
trade-client,trade,0.7390839999743548
trade-client,trade,0.9022500000241962
trade-client,trade,1.0112909999975273
trade-client,trade,0.990999999999076
trade-client,trade,1.9418749999999818
trade-client,trade,2.123250000011012
trade-client,trade,1.2482500000032815
trade-client,trade,1.1150839999913842
trade-client,trade,0.9989170000039849
trade-client,trade,1.534457999980532
trade-client,trade,0.7141660000229422
trade-client,trade,0.6980410000210213
trade-client,trade,0.7342499999936081
trade-client,trade,2.448375000028591
trade-client,trade,0.830583000038132
trade-client,trade,1.68258399997967
trade-client,trade,1.4219999999909305
trade-client,trade,1.8686249999859683
trade-client,trade,1.7821669999875667
trade-client,trade,0.8268750000297587
trade-client,trade,1.1909579999951347
trade-client,trade,1.2184580000393908
trade-client,trade,1.549750000037875
trade-client,trade,1.7784169999686128
trade-client,trade,2.126332999978331
trade-client,trade,1.712124999983189
trade-client,trade,2.009541999996145
trade-client,trade,3.199542000004385
trade-client,trade,1.2504160000048614
trade-client,trade,0.8892500000001746
trade-client,trade,1.1661660000186203
trade-client,trade,2.1358750000217697
trade-client,trade,2.2529999999960637
trade-client,trade,0.7093329999747766
trade-client,trade,1.9171249999772044
trade-client,trade,0.8557089999499112
trade-client,trade,1.2155000000007021
trade-client,trade,1.9034169999940787
trade-client,trade,0.842832999978782
trade-client,trade,1.3837920000128179
trade-client,trade,0.5827500000350483
trade-client,trade,0.8525000000076943
trade-client,trade,2.0601249999572246
trade-client,trade,2.8474999999730244
trade-client,trade,1.3088750000065374
trade-client,trade,1.0774999999512147
trade-client,trade,1.0501670000166996
trade-client,trade,1.5810419999979786
trade-client,trade,1.0752919999958976
trade-client,trade,0.8555829999750131
trade-client,trade,1.3830000000325526
trade-client,trade,1.2857499999654465
trade-client,trade,0.67754200000536
trade-client,trade,1.8261249999795837
trade-client,trade,0.7512500000075306
trade-client,trade,0.7685410000135562
trade-client,trade,2.720791999990979
trade-client,trade,1.4045000000351138
trade-client,trade,3.5367080000128226
trade-client,trade,1.2140000000044893
trade-client,trade,2.0957090000024436
trade-client,trade,0.9429159999854164
trade-client,trade,0.8920419999753904
trade-client,trade,3.2459589999689342
trade-client,trade,0.959709000028397
trade-client,trade,1.7429999999762913
trade-client,trade,1.2490000000298096
trade-client,trade,1.1674579999976231
trade-client,trade,0.6028749999700267
trade-client,trade,1.1516659999983858
trade-client,trade,1.30283400000053
trade-client,trade,0.7624579999969683
trade-client,trade,0.7489170000098966
trade-client,trade,1.3486660000125994
trade-client,trade,1.0982090000197786
trade-client,trade,2.5155409999797484
trade-client,trade,1.5082079999615416
trade-client,trade,0.6339999999909196
trade-client,trade,1.3401670000234844
trade-client,trade,1.7037910000112788
trade-client,trade,0.798499999973501
trade-client,trade,0.9660839999696691
trade-client,trade,0.6316250000395485
trade-client,trade,1.2354170000321574
trade-client,trade,0.8754579999958878
trade-client,trade,1.185249999991811
trade-client,trade,1.1637090000249373
trade-client,trade,1.8326250000200162
trade-client,trade,0.8842089999916425
trade-client,trade,1.3562500000148248
trade-client,trade,0.9325830000079804
trade-client,trade,5.327583999985563
trade-client,trade,1.8640000000118562
trade-client,trade,0.7115420000332051
trade-client,trade,1.1814579999622765
trade-client,trade,1.3264589999835152
trade-client,trade,1.4417079999589077
trade-client,trade,1.794458000006216
trade-client,trade,1.2414999999919019
trade-client,trade,1.3082920000329068
trade-client,trade,1.3927080000257774
trade-client,trade,2.906749999965541
trade-client,trade,0.9945420000008198
trade-client,trade,1.2112919999935912
trade-client,trade,0.8134579999818925
trade-client,trade,1.2308340000117823
trade-client,trade,1.6008339999871168
trade-client,trade,1.3850000000275031
trade-client,trade,0.850916999979745
trade-client,trade,1.3486249999914435
trade-client,trade,1.1052500000232612
trade-client,trade,1.3702919999900587
trade-client,trade,1.593083999978262
trade-client,trade,1.216624999983651
trade-client,trade,1.3829160000113916
trade-client,trade,1.3104999999882239
trade-client,trade,3.297540999994908
trade-client,trade,1.11850000001823
trade-client,trade,1.9981660000212287
trade-client,trade,3.532000000006974
trade-client,trade,4.170916000020952
trade-client,trade,3.838749999999891
trade-client,trade,0.995249999959924
trade-client,trade,1.0254169999939222
trade-client,trade,2.1098330000199894
trade-client,trade,2.3768330000280002
trade-client,trade,0.8599159999675976
trade-client,trade,0.8668330000318747
trade-client,trade,0.9795000000281107
trade-client,trade,1.9391250000353466
trade-client,trade,1.493374999995467
trade-client,trade,1.2118340000029093
